Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,source,saved_path,detail_specs_html_path
"Asus TUF Gaming F16 FX607VU-RL045W | Core 5 210H, 16GB, 512GB, RTX 4050 6GB, 16'' FHD+",asus,Intel,,,2.2,16,DDR5,5600,512,16,1920 x 1200,144,NVIDIA,2.20,56 Wh,59990000,https://laptopaz.vn/new-100-asus-tuf-gaming-f16-fx607vu-rl045w-core-5-210h-16gb-512gb-rtx-4050-6gb-16quot-fhd.html,az,,
"Dell Inspiron 14 5440 N4I5211W1 | Core 5 120U, 16GB, 512GB, 14'' FHD+",dell,Intel,,,5.00,16,DDR5,4400,512,14.0,1920 x 1200,,Intel,1.69,41 Wh,24590000,https://laptopaz.vn/new-100-dell-inspiron-14-5440-n4i5211w1-core-5-120u-16gb-512gb-14quot-fhd.html,az,,
"Dell Inspiron 3530 N5I7305W1 | Core i7-1355U, 16GB, 512GB, 15.6'' FHD 120Hz",dell,Intel,i7-1355u,13,5.0,16,DDR4,2666,512,15.6,1920 x 1080,120,Intel,1.65,41 Wh,65990000,https://laptopaz.vn/new-100-dell-inspiron-3530-n5i7305w1-core-i7-1355u-16gb-512gb-15.6-fhd-120hz.html,az,,
"Lenovo IdeaPad Slim 3 2025 14IRH10-83K00008VN | Core i5-13420H, 16GB, 512GB, 14'' FHD+",lenovo,Intel,i5-13420h,13,2.1,16,DDR5,4800,512,14,1920 x 1200,60,Intel,,50 Wh,28990000,https://laptopaz.vn/new-100-lenovo-ideapad-slim-3-2025-14irh10-83k00008vn-core-i5-13420h-16gb-512gb-14quot-fhd.html,az,,
Acer Nitro V 16 ProPanel ANV16-41-R7EN giá tốt nhất thị trường - LaptopAZ.vn,acer,AMD,ryzen 7,7,3.80,16,DDR5,5600,4000,16,1920 x 1200,165,NVIDIA,2.5,57 Wh,52490000,https://laptopaz.vn/new-100-acer-nitro-v-16-propanel-anv16-41-r7en-ryzen-7-8845hs-16gb-512gb-rtx-3050-6gb-16quot-fhd-ips-165hz.html,az,,
Acer Nitro V 15 ProPanel ANV15-51-73UU giá tốt nhất thị trường - LaptopAZ.vn,acer,Intel,i7-13620h,13,2.40,16,DDR5,5200,4000,15.6,1920 x 1080,180,NVIDIA,2.1,57 Wh,52490000,https://laptopaz.vn/new-100-acer-nitro-v-15-propanel-anv15-51-73uu-core-i7-13620h-16gb-512gb-rtx-3050-6gb-15.6quot-fhd-ips-180hz.html,az,,
Dell Inspiron 14 5440 giá tốt nhất thị trường - LaptopAZ.vn,dell,Intel,i5-1334u,13,4.60,16,DDR5,4400,512,14.0,1920 x 1200,,Intel,1.69,41 Wh,24590000,https://laptopaz.vn/new-100-dell-inspiron-14-5440-ndy5v1-core-i5-1334u-16gb-512gb-14quot-fhd.html,az,,
"Laptop Lenovo ThinkPad E16 Gen 3 21SR00AAVN | Ultra 5 135H, 16GB, 512GB, Intel Arc Graphics, 16.0inch WUXGA, Win 11",lenovo,Intel,,5,4.6,16,DDR5,,512,16,1920 x 1200,60,Intel,1.63,48 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-e16-gen-3-21sr00aavn-ultra-5-135h-16gb-512gb-intel-arc-graphics-16.0inch-wuxga-win-11.html,az,,
"Laptop ASUS TUF Gaming A16 FA608UM-RV266W | Ryzen 7 260, 16GB, 512GB, RTX 5060, 16inch FHD+ 165Hz, Win 11",asus,AMD,ryzen 7,7,3.8,16,DDR5,5600,512,16,1920 x 1200,165,NVIDIA,2.2,90 Wh,62990000,https://laptopaz.vn/laptop-asus-tuf-gaming-a16-fa608um-rv266w-ryzen-7-260-16gb-512gb-rtx-5060-16inch-fhd-165hz-win-11.html,az,,
"Laptop ASUS TUF Gaming F16 FX608JHI-TU209W | Core i7-14650HX,16GB, 512GB, RTX 5050 8GB, 16inch WUXGA 165Hz, Win 11",asus,Intel,i7-14650hx,14,2.20,16,DDR5,5600,512,16,1920 x 1200,165,NVIDIA,2.2,90 Wh,59990000,https://laptopaz.vn/laptop-asus-tuf-gaming-f16-fx608jhi-tu209w-core-i7-14650hx16gb-512gb-rtx-5050-8gb-16inch-wuxga-165hz-win-11.html,az,,
"Laptop Lenovo ThinkPad L16 Gen 2 21SA000FVA Ultra 5 225U, 16GB, 512GB, Intel Arc 140T, 16.0inch WUXGA, No OS",lenovo,Intel,,5,4.8,16,DDR5,,512,16,1920 x 1200,60,Intel,1.79,46.5 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-l16-gen-2-21sa000fva-ultra-5-225u-16gb-512gb-intel-arc-140t-16.0inch-wuxga-no-os.html,az,,
"Laptop Lenovo ThinkPad T14 Gen 6 21QG004FVA | Ultra 7 258V, 32GB, 1TB, Intel Arc Graphics 140V, 14.0inch WUXGA, NO OS",lenovo,Intel,,7,4.8,32,LPDDR5,,1000,14,1920 x 1200,60,Intel,1.38,57 Wh,42990000,https://laptopaz.vn/laptop-lenovo-thinkpad-t14-gen-6-21qg004fva-ultra-7-258v-32gb-1tb-intel-arc-graphics-140v-14.0inch-wuxga-no-os.html,az,,
"Laptop HP OmniBook 5 AI 16-af1052TU C1MN6PA | Ultra 7 255U, 32GB, 512GB, Intel Graphics, 16.0inch 2K, Cảm ứng, Office",hp,Intel,,7,2.00,32,LPDDR5,7467,512,16.0,1920 x 1200,,Intel,1.77,59 Wh,31790000,https://laptopaz.vn/laptop-hp-omnibook-5-ai-16-af1052tu-c1mn6pa-ultra-7-255u-32gb-512gb-intel-graphics-16.0inch-2k-cam-ung-office.html,az,,
"Laptop HP Victus 16-r0298TX AE0N5PA | Core i5-13500H, 16GB, 512GB, RTX 4060, 16.1inch FHD 144Hz",hp,Intel,i5-13500h,13,3.50,16,DDR5,5600,512,16.1,1920 x 1080,144,NVIDIA,2.31,70 Wh,43990000,https://laptopaz.vn/laptop-hp-victus-16-r0298tx-ae0n5pa-core-i5-13500h-16gb-512gb-rtx-4060-16.1inch-fhd-144hz.html,az,,
"Laptop HP Victus 16-r1178TX A2NN2PA | Core i5-14450HX, 32GB, 1TB, RTX 4060, 16.1 inch FHD 144Hz",hp,Intel,i5-14450hx,14,1.80,32,DDR5,5600,1000,16.1,1920 x 1080,144,NVIDIA,2.31,70 Wh,43990000,https://laptopaz.vn/laptop-hp-victus-16-r1178tx-a2nn2pa-core-i5-14450hx-32gb-1tb-rtx-4060-16.1-inch-fhd-144hz.html,az,,
"Laptop HP Victus 16-r1182TX A2NN6PA | Core i5-14450HX, 32GB,  1TB,  RTX 4050, 16.1 inch FHD 144Hz",hp,Intel,i5-14450hx,14,1.80,32,DDR5,5600,1000,16.1,1920 x 1080,144,NVIDIA,2.31,70 Wh,43990000,https://laptopaz.vn/laptop-hp-victus-16-r1182tx-a2nn6pa-core-i5-14450hx-32gb-1tb-rtx-4050-16.1-inch-fhd-144hz.html,az,,
"Laptop ASUS Vivobook 15 X1504VA-BQ265W | Core 5 120U, 16GB, 512GB, Intel Graphics, 15.6inch FHD",asus,Intel,,,1.40,16,DDR4,3200,512,15.6,,60,Intel,1.70,42 Wh,23990000,https://laptopaz.vn/laptop-asus-vivobook-15-x1504va-bq265w-core-5-120u-16gb-512gb-intel-graphics-15.6inch-fhd.html,az,,
"Laptop ASUS TUF Gaming A14 FA401GM-RG013W | Ryzen AI 9 465, 32GB, 1TB, RTX 5060 8GB, 14inch WQXGA 165Hz",asus,AMD,ryzen ai 9,9,2.00,16,LPDDR5,7500,1000,14,2560 x 1600,165,NVIDIA,1.46,73 Wh,59990000,https://laptopaz.vn/laptop-asus-tuf-gaming-a14-fa401gm-rg013w-ryzen-ai-9-465-32gb-1tb-rtx-5060-8gb-14inch-wqxga-165hz.html,az,,
"Laptop ASUS TUF Gaming F16 FX608JHR-RV160W | Core i5-14450HX, 16GB, 512GB, RTX 5050 8GB, 16.0 inch WUXGA 165Hz",asus,Intel,i5-14450hx,14,4.80,16,DDR5,,512,16.0,,165,NVIDIA,2.2,90 Wh,59990000,https://laptopaz.vn/laptop-asus-tuf-gaming-f16-fx608jhr-rv160w-core-i5-14450hx-16gb-512gb-rtx-5050-8gb-16.0-inch-wuxga-165hz.html,az,,
"Lenovo IdeaPad Slim 3 15Q8X10 83N3002PVN | Snapdragon X X1-26-100, 16GB, 512GB, Qualcomm Adreno, 15.3 inch WUXGA , Office",lenovo,Qualcomm,snapdragon x,,3.00,16,LPDDR5,8448,512,15.3,1920 x 1200,,,1.55,60 Wh,28990000,https://laptopaz.vn/lenovo-ideapad-slim-3-15q8x10-83n3002pvn-snapdragon-x-x1-26-100-16gb-512gb-qualcomm-adreno-15.3-inch-wuxga-office.html,az,,
"Laptop Lenovo ThinkPad T14s Gen 6 21QX00LDVA | Ultra 7 258V, 32GB,  512GB, Intel Arc Graphics 140V, 14.0inch WUXGA, NoOS",lenovo,Intel,,7,4.8,32,LPDDR5,,512,14,1920 x 1200,60,Intel,1.28,58 Wh,39490000,https://laptopaz.vn/laptop-lenovo-thinkpad-t14s-gen-6-21qx00ldva-ultra-7-258v-32gb-512gb-intel-arc-graphics-140v-14.0inch-wuxga-noos.html,az,,
"Laptop Lenovo ThinkPad E16 Gen 3 21TF003VVA | Core 7 240H, 16GB, 1TB, Intel Graphics, 16.0inch WUXGA, No OS",lenovo,Intel,,,5.2,16,DDR5,,1000,16,1920 x 1200,60,Intel,1.63,48 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-e16-gen-3-21tf003vva-core-7-240h-16gb-1tb-intel-graphics-16.0inch-wuxga-no-os.html,az,,
"Laptop Lenovo ThinkPad E14 Gen 7 21T90020VA | Intel Core 5 210H, 16GB, 1TB,  Intel Graphics, 14 inch WUXGA IPS, No Os",lenovo,Intel,,,4.8,16,DDR5,,1000,14,1920 x 1200,60,Intel,1.34,48 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-e14-gen-7-21t90020va-intel-core-5-210h-16gb-1tb-intel-graphics-14-inch-wuxga-ips-no-os.html,az,,
"Laptop Lenovo Legion 5 15AHP11 83Q7001JVN | Ryzen 7 250, 16GB, 512GB, RTX 5060 8GB, 15.3inch WQXGA OLED 165Hz, Office",lenovo,AMD,ryzen 7,7,3.3,16,DDR5,5600,512,15.3,2560 x 1600,165,NVIDIA,1.87,80 Wh,56290000,https://laptopaz.vn/laptop-lenovo-legion-5-15ahp11-83q7001jvn-ryzen-7-250-16gb-512gb-rtx-5060-8gb-15.3inch-wqxga-oled-165hz-office.html,az,,
"Laptop Lenovo ThinkPad E16 Gen 3 21SR00A6VA | Ultra 5 135H, 16GB, 512GB, Intel Arc Graphics, 16 inch WUXGA, No OS",lenovo,Intel,,5,4.6,16,DDR5,,512,16,1920 x 1200,60,Intel,1.63,48 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-e16-gen-3-21sr00a6va-ultra-5-135h-16gb-512gb-intel-arc-graphics-16-inch-wuxga-no-os.html,az,,
"Laptop ASUS Zenbook S16 UM5606GA-SS384WS | Ryzen AI 9 465, 32GB, 1TB,  AMD Radeon Graphics, 16 inch 3K OLED, Office, Trắng",asus,AMD,ryzen ai 9,9,2.0,32,LPDDR5,,1000,16.0,2880 x 1800,120,AMD,1.50,83 Wh,48990000,https://laptopaz.vn/laptop-asus-zenbook-s16-um5606ga-ss384ws-ryzen-ai-9-465-32gb-1tb-amd-radeon-graphics-16-inch-3k-oled-office-trang.html,az,,
"Laptop ASUS Zenbook S 14 UX5406AA-SU415WS | Ultra 9 386H, 32GB, 512GB, Intel Graphics, 14 inch 3K OLED 120Hz, Win 11, Office, Trắng",asus,Intel,,9,2.1,32,LPDDR5,,512,14.0,2880 x 1800,120,Intel,1.20,77 Wh,48990000,https://laptopaz.vn/laptop-asus-zenbook-s-14-ux5406aa-su415ws-ultra-9-386h-32gb-512gb-intel-graphics-14-inch-3k-oled-120hz-win-11-office-trang.html,az,,
"Laptop HP 14-ep1179TU C89ZSPA | Core 5-120U, 16GB, 512GB, Intel Graphics, 14 inch FHD, Win 11 |",hp,Intel,,,1.40,16,DDR4,3200,512,14,1920 x 1080,,Intel,1.41,41 Wh,31790000,https://laptopaz.vn/laptop-hp-14-ep1179tu-c89zspa-core-5-120u-16gb-512gb-intel-graphics-14-inch-fhd-win-11.html,az,,
"Laptop Gigabyte AORUS 16X ASG-53VNC94SH | Intel Core i7-14650HX, 16GB, 1TB, RTX 4070 8GB, 16 inch WQXGA 165Hz, Win 11",gigabyte,Intel,i7-14650hx,14,5.2,16,DDR4,5600,1000,16.0,2560 x 1600,165,NVIDIA,2.3,99 Wh,39990000,https://laptopaz.vn/laptop-gigabyte-aorus-16x-asg-53vnc94sh-intel-core-i7-14650hx-16gb-1tb-rtx-4070-8gb-16-inch-wqxga-165hz-win-11.html,az,,
"Laptop Gigabyte AORUS 16X ASG-53VNC54SH | Intel Core i7-14650HX, 16GB, 1TB, RTX 4070 8GB, 16 inch WQXGA 165Hz, Win 11",gigabyte,Intel,i7-14650hx,14,5.2,16,DDR4,5600,1000,16.0,2560 x 1600,165,NVIDIA,2.3,99 Wh,39990000,https://laptopaz.vn/laptop-gigabyte-aorus-16x-asg-53vnc54sh-intel-core-i7-14650hx-16gb-1tb-rtx-4070-8gb-16-inch-wqxga-165hz-win-11.html,az,,
"Asus ExpertBook B5 B5404CMA-Q70250W | Core Ultra 7 155H, 16GB, 512GB, Intel  Arc Graphics, 14.0 WUXGA",asus,Intel,core ultra 7,7,1.40,16,DDR5,5600,512,14.0,1920 x 1200,60,Intel,1.40,63 Wh,23990000,https://laptopaz.vn/asus-expertbook-b5-b5404cma-q70250w-core-ultra-7-155h-16gb-512gb-intel-arc-graphics-14.0-wuxga.html,az,,
"Laptop ASUS ExpertBook P1 P1503CVA-C7H16-50W | Core 7 240H, 16GB, 512GB, Intel Graphics, 15.6inch FHD, Win11",asus,Intel,,,2.50,16,DDR5,5200,512,15.6,1920 x 1080,60,Intel,1.68,50 Wh,25290000,https://laptopaz.vn/laptop-asus-expertbook-p1-p1503cva-c7h16-50w-core-7-240h-16gb-512gb-intel-graphics-15.6inch-fhd-win11.html,az,,
"Laptop Lenovo V15 G5 IRL 83HF00BRVA | Core i5-13420H, 8GB, 512GB, Intel UHD Graphics, 15.6 inch FHD, NoOS",lenovo,Intel,i5-13420h,13,2.10,8,DDR5,5200,512,15.6,1920 x 1080,,Intel,1.61,47 Wh,28990000,https://laptopaz.vn/laptop-lenovo-v15-g5-irl-83hf00brva-core-i5-13420h-8gb-512gb-intel-uhd-graphics-15.6-inch-fhd-noos.html,az,,
"Laptop ASUS Zenbook 14 UX3405CA-ST648W | Ultra 9 285H, 32GB, 1TB,  Intel Arc Graphics, 14.0inch 3K OLED, Win 11",asus,Intel,,9,2.90,32,LPDDR5,,1000,14.0,2880 x 1800,120,Intel,1.2,75 Wh,48990000,https://laptopaz.vn/laptop-asus-zenbook-14-ux3405ca-st648w-ultra-9-285h-32gb-1tb-intel-arc-graphics-14.0inch-3k-oled-win-11.html,az,,
"Laptop Lenovo ThinkPad E16 Gen 3 21TF003UVA | Core 7 240H, 16GB, 512GB, Intel Graphics, 16.0inch WUXGA, No OS",lenovo,Intel,,,5.2,16,DDR5,,512,16,1920 x 1200,60,Intel,1.63,48 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-e16-gen-3-21tf003uva-core-7-240h-16gb-512gb-intel-graphics-16.0inch-wuxga-no-os.html,az,,
"Laptop Lenovo ThinkPad E14 Gen 7 21U2003MVA | Ultra 5 226V, 16GB, 1TB, Intel Arc Graphics 130V, 14.0inch WUXGA, No OS",lenovo,Intel,,5,4.5,16,LPDDR5,,1000,14,1920 x 1200,60,Intel,1.32,48 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-e14-gen-7-21u2003mva-ultra-5-226v-16gb-1tb-intel-arc-graphics-130v-14.0inch-wuxga-no-os.html,az,,
"Laptop HP 15-fd0306TU A2NL7PA | Intel Core i3-1315U, 8GB, 256GB, Intel Graphics, 15.6 inch FHD, Win 11",hp,Intel,i3-1315u,13,4.5,8,DDR4,,256,15.6,1920 x 1080,,Intel,1.59,41 Wh,29890000,https://laptopaz.vn/laptop-hp-15-fd0306tu-a2nl7pa-intel-core-i3-1315u-8gb-256gb-intel-graphics-15.6-inch-fhd-win-11.html,az,,
"Asus ExpertBook P1 P1403CVA-i516-63W | Core i5-13420H, 16GB, 512GB, Intel UHD Graphics, 14.0'' FHD Office",asus,Intel,i5-13420h,13,2.10,16,DDR5,5200,512,14.0,1920 x 1080,,Intel,1.40,63 Wh,23990000,https://laptopaz.vn/asus-expertbook-p1-p1403cva-i516-63w-core-i5-13420h-16gb-512gb-intel-uhd-graphics-14.0-fhd-office.html,az,,
"Laptop HP OmniBook X Flip 14-fm0086TU BZ7Q0PA | Ultra 5 226V, 16GB, 1TB, Intel Arc, 14 inch WUXGA, Cảm ứng, Win 11, Office",hp,Intel,core ultra 5,5,2.10,16,LPDDR5,8533,1000,14,1920 x 1200,,Intel,1.38,59 Wh,31790000,https://laptopaz.vn/laptop-hp-omnibook-x-flip-14-fm0086tu-bz7q0pa-ultra-5-226v16gb-1tb-intel-arc-14-inch-wuxga-cam-ung-win-11-office.html,az,,
"Laptop HP OmniBook 7 Aero 13-bg1085AU BZ7U6PA | Ryzen Al 7 350, 16GB, 512GB, AMD Radeon 860M Graphics, 13.3inch WUXGA, Win 11, Office",hp,AMD,,,2.00,16,LPDDR5,7500,512,13.3,1920 x 1200,,AMD,1,43 Wh,31790000,https://laptopaz.vn/laptop-hp-omnibook-7-aero-13-bg1085au-bz7u6pa-ryzen-al-7-350-16gb-512gb-amd-radeon-860m-graphics-13.3inch-wuxga-win-11-office.html,az,,
"Laptop HP ProBook 4 G1i 16 BQ5E1PT | Ultra 7 255U, 16GB, 512GB, Intel Graphics, 16 inch WUXGA, Win 11",hp,Intel,,7,2.00,16,DDR5,5600,512,16,1920 x 1200,,Intel,1.74,56 Wh,31790000,https://laptopaz.vn/laptop-hp-probook-4-g1i-16-bq5e1pt-ultra-7-255u-16gb-512gb-intel-graphics-16-inch-wuxga-win-11.html,az,,
"Laptop ASUS ExpertBook P1 P1503CVA-i508-50W | Core i5-13420H, 8GB, 512GB, Intel UHD Graphics, 15.6 inch FHD",asus,Intel,i5-13420h,13,2.10,8,DDR5,,512,15.6,1920 x 1080,,Intel,1.6,50 Wh,23990000,https://laptopaz.vn/laptop-asus-expertbook-p1-p1503cva-i508-50w-core-i5-13420h-8gb-512gb-intel-uhd-graphics-15.6-inch-fhd.html,az,,
"Asus ExpertBook P1 P1403CVA-S60608 | Core i5-13420H, 16GB, 512GB, Intel UHD Graphics, 14.0 inch FHD No OS",asus,Intel,i5-13420h,13,2.10,16,DDR5,5200,512,14.0,1920 x 1080,,Intel,1.40,50 Wh,23990000,https://laptopaz.vn/asus-expertbook-p1-p1403cva-s60608-core-i5-13420h-16gb-512gb-intel-uhd-graphics-14.0-inch-fhd-no-os.html,az,,
"Laptop ASUS Zenbook 14 UX3405CA-ST628W | Ultra 5 225H, 16GB, 512GB, Intel Arc Graphics, 14.0inch 3K OLED, Win 11",asus,Intel,,5,1.70,16,LPDDR5,,512,14.0,2880 x 1800,120,Intel,1.2,75 Wh,48990000,https://laptopaz.vn/laptop-asus-zenbook-14-ux3405ca-st628w-ultra-5-225h-16gb-512gb-intel-arc-graphics-14.0inch-3k-oled-win-11.html,az,,
"Laptop Lenovo ThinkPad E14 Gen 7 21SX002NVA | Ultra 5 225H, 16GB, 512GB, Intel Arc 130T, 14inch WUXGA, No OS",lenovo,Intel,,5,4.9,16,DDR5,,512,14,1920 x 1200,60,Intel,1.34,48 Wh,29790000,https://laptopaz.vn/laptop-lenovo-thinkpad-e14-gen-7-21sx002nva-ultra-5-225h-16gb-512gb-intel-arc-130t-14inch-wuxga-no-os.html,az,,
"Laptop HP OmniBook 5 AI 16-AF1048TU BZ7Q9PA | Ultra 5 225U, 16GB, 512GB, Intel Graphics, 16 inch WUXGA, Win 11, Office",hp,Intel,,5,1.50,16,LPDDR5,7467,512,16,1920 x 1200,,Intel,1.79,59 Wh,31790000,https://laptopaz.vn/laptop-hp-omnibook-5-ai-16-af1048tu-bz7q9pa-ultra-5-225u-16gb-512gb-intel-graphics-16-inch-wuxga-win-11-office.html,az,,
"Laptop Dell Pro 14 Essential PV14250-71084490 | Intel Core 7 150U, 16GB, 512GB, Intel Graphics, 14 inch FHD+, Win 11",dell,Intel,,,1.80,16,DDR5,5200,512,14,1920 x 1200,60,Intel,1.56,54 Wh,26690000,https://laptopaz.vn/laptop-dell-pro-14-essential-pv14250-71084490-intel-core-7-150u-16gb-512gb-intel-graphics-14-inch-fhd-win-11.html,az,,
"Laptop Dell 15 DC15255 DC5R5802W1 | Ryzen 5-7530U,16GB, 512GB, AMD Radeon Graphics, 15.6 inch FHD, Win 11, Office",dell,AMD,ryzen 5,5,2.0,16,DDR4,3200,512,15.6,1920 x 1080,120,AMD,1.66,41 Wh,20390000,https://laptopaz.vn/laptop-dell-15-dc15255-dc5r5802w1-ryzen-5-7530u16gb-512gb-amd-radeon-graphics-15.6-inch-fhd-win-11-office.html,az,,
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-52-73Z8 NH.QUASV.001 | Core 7 240H, 16GB, 512GB, RTX 4050 6GB, 15.6 inch FHD 180Hz, Win 11",acer,Intel,,,1.80,16,DDR4,3200,4000,15.6,1920 x 1080,180,NVIDIA,2.1,57 Wh,52490000,https://laptopaz.vn/laptop-acer-gaming-nitro-v-15-propanel-anv15-52-73z8-nh.quasv.001-core-7-240h-16gb-512gb-rtx-4050-6gb-15.6-inch-fhd-180hz-win-11.html,az,,
"Laptop ASUS ExpertBook B1 BM1403CDA-S61611W | AMD Ryzen 5 150, 16GB, 512GB, AMD Radeon, 14 inch FHD, Win 11",asus,AMD,ryzen 5,5,3.3,16,DDR5,,512,14,1920 x 1080,,AMD,1.40,42 Wh,23990000,https://laptopaz.vn/laptop-asus-expertbook-b1-bm1403cda-s61611w-amd-ryzen-5-150-16gb-512gb-amd-radeon-14-inch-fhd-win-11.html,az,,
"Laptop MSI Crosshair 16 HX AI D2XWFKG-036VN I Core Ultra 7-255HX, 16GB, 1TB, RTX 5060, 16 inch QHD+ 240Hz",msi,Intel,core ultra 7,7,2.40,16,DDR5,5600,1000,16.0,2560 x 1600,240,NVIDIA,2.5,90 Wh,51990000,https://laptopaz.vn/laptop-msi-crosshair-16-hx-ai-d2xwfkg-036vn-i-core-ultra-7-255hx-16gb-1tb-rtx-5060-16-inch-qhd-240hz.html,az,,
"Laptop Lenovo ThinkPad T14 Gen 6 21QC000KVN | Ultra 7 255H, 48GB, 1TB, Intel Arc, 140T GPU, 14.0inch WUXGA, Win 11 Pro",lenovo,Intel,,7,5.1,16,DDR5,,1000,14,1920 x 1200,60,Intel,1.46,52.5 Wh,44490000,https://laptopaz.vn/laptop-lenovo-thinkpad-t14-gen-6-21qc000kvn-ultra-7-255h-48gb-1tb-intel-arc-140t-gpu-14.0inch-wuxga-win-11-pro.html,az,,
"Laptop Lenovo ThinkPad T14 Gen 6 21QC0000VA | Ultra 5 225H, 24GB, 512GB, Intel Arc 130T, 14.0inch WUXGA, No OS",lenovo,Intel,,5,4.9,8,DDR5,,512,14,1920 x 1200,60,Intel,1.46,52.5 Wh,32990000,https://laptopaz.vn/laptop-lenovo-thinkpad-t14-gen-6-21qc0000va-ultra-5-225h-24gb-512gb-intel-arc-130t-14.0inch-wuxga-no-os.html,az,,
"[Review] Laptop ASUS Vivobook 14 M1405NAQ-LY011W | Ryzen 7 170, 16GB, 512GB, Radeon 680M Graphics 14.0 Inch WUXGA",asus,AMD,ryzen 7,7,4.75,16,DDR5,,512,14,1920 x 1200,60,AMD,1.6,42 Wh,23990000,https://laptopaz.vn/review-laptop-asus-vivobook-14-m1405naq-ly011w-ryzen-7-170-16gb-512gb-radeon-680m-graphics-14.0-inch-wuxga.html,az,,
"Lenovo IdeaPad Slim 3 2025 14IRH10-83K0000AVN | Core i5-13420H, 24GB, 512GB, Intel UHD Graphics, 14.0 inch WUXGA",lenovo,Intel,i5-13420h,13,2.1,24,DDR5,4800,512,14,1920 x 1200,,Intel,1.43,60 Wh,28990000,https://laptopaz.vn/lenovo-ideapad-slim-3-2025-14irh10-83k0000avn-core-i5-13420h-24gb-512gb-intel-uhd-graphics-14.0-inch-wuxga.html,az,,
"Laptop Dell 16 DC16250 71076092 | Core 5 120U, 16GB, 1TB, Intel Graphics, 16.0 inch FHD+, Office",dell,Intel,,,1.40,16,DDR5,5200,1000,16.0,1920 x 1200,,Intel,1.98,41 Wh,24990000,https://laptopaz.vn/laptop-dell-16-dc16250-71076092-core-5-120u-16gb-1tb-intel-graphics-16.0-inch-fhd-office.html,az,,
"Laptop Dell 15 DC15250 71084747 | Core i7-1355U, 16GB, 512GB, Intel UHD Graphics, 15.6 inch FHD, Office",dell,Intel,i7-1355u,13,1.70,16,DDR5,4400,512,15.6,1920 x 1080,120,Intel,1.9,54 Wh,22990000,https://laptopaz.vn/laptop-dell-15-dc15250-71084747-core-i7-1355u-16gb-512gb-intel-uhd-graphics-15.6-inch-fhd-office.html,az,,
"Laptop HP OmniBook X Flip 14-fm0088TU BZ7Q2PA | Ultra 5 226V, 16GB, 512GB, Intel Arc, 14 inch WUXGA, Cảm ứng, Office, Xanh",hp,Intel,core ultra 5,5,2.10,16,LPDDR5,8533,512,14,1920 x 1200,,Intel,1.39,59 Wh,31790000,https://laptopaz.vn/laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa-ultra-5-226v-16gb-512gb-intel-arc-14-inch-wuxga-cam-ung-office-xanh.html,az,,
"Laptop HP OmniBook 7 Aero 13-bg1087AU BZ7S1PA | Ryzen Al 5 340, 16GB, 512GB, AMD Radeon 840M Graphics, 13.3inch WUXGA, Office",hp,AMD,,,2.00,16,LPDDR5,7500,512,13.3,1920 x 1200,,AMD,1,43 Wh,31790000,https://laptopaz.vn/laptop-hp-omnibook-7-aero-13-bg1087au-bz7s1pa-ryzen-al-5-340-16gb-512gb-amd-radeon-840m-graphics-13.3inch-wuxga-office.html,az,,
"Laptop MSI Vector 16 HX AI A2XWIG-062VN | Ultra 9 275HX, 16GB, 1TB, RTX 5080, 16inch QHD+ 240Hz",msi,Intel,,9,5.40,16,DDR5,5600,1000,16,2560 x 1600,240,NVIDIA,2.7,90 Wh,66990000,https://laptopaz.vn/laptop-msi-vector-16-hx-ai-a2xwig-062vn-ultra-9-275hx-16gb-1tb-rtx-5080-16inch-qhd-240hz.html,az,,
"Laptop Lenovo Yoga Slim 7 14ILL10 83JX0036VN | Ultra 7 258V, 32GB, 1TB, Intel Arc Graphics 140V, 14inch 2.8K OLED, Office",lenovo,Intel,,7,4.8,32,LPDDR5,,1000,14,2880 x 1800,120,Intel,1.19,70 Wh,35990000,https://laptopaz.vn/laptop-lenovo-yoga-slim-7-14ill10-83jx0036vn-ultra-7-258v-32gb-1tb-intel-arc-graphics-140v-14inch-2.8k-oled-office.html,az,,
"Asus Vivobook S16 M3607GA-SH034W | Ryzen AI 7 445, 16GB, 512GB, AMD Radeon Graphics, 16.0 icnh WUXGA  OLED",asus,AMD,ryzen ai 7,7,2.00,16,DDR5,,512,16,1920 x 1200,60,AMD,1.7,70 Wh,28290000,https://laptopaz.vn/asus-vivobook-s16-m3607ga-sh034w-ryzen-ai-7-445-16gb-512gb-amd-radeon-graphics-16.0-icnh-wuxga-oled.html,az,,
